1 21 1 3 | 1 5 13 21 | 4
1 21 2 5 | 1 10 2 5 13 21 | 6
1 22 1 3 | 1 5 13 22 | 4
1 22 2 5 | 1 10 2 5 13 22 | 6
1 23 1 3 | 1 5 14 23 | 4
1 23 2 5 | 1 10 2 5 14 23 | 6
1 24 1 3 | 1 5 14 24 | 4
1 24 2 5 | 1 10 2 5 14 24 | 6
1 25 1 3 | 1 8 15 25 | 4
1 25 2 5 | 1 5 2 7 15 25 | 6
1 26 1 3 | 1 8 15 26 | 4
1 26 2 5 | 1 5 2 7 15 26 | 6
1 27 1 3 | 1 8 16 27 | 4
1 27 2 5 | 1 5 2 7 16 27 | 6
1 28 1 3 | 1 8 16 28 | 4
1 28 2 5 | 1 5 2 7 16 28 | 6
1 29 1 3 | 1 10 17 29 | 4
1 29 2 5 | 1 8 4 9 17 29 | 6
1 30 1 3 | 1 10 17 30 | 4
1 30 2 5 | 1 8 4 9 17 30 | 6
1 31 1 3 | 1 10 18 31 | 4
1 31 2 5 | 1 8 4 9 18 31 | 6
1 32 1 3 | 1 10 18 32 | 4
1 32 2 5 | 1 8 4 9 18 32 | 6
1 33 1 3 | 1 11 19 33 | 4
1 33 2 5 | 1 8 4 11 19 33 | 6
1 34 1 3 | 1 11 19 34 | 4
1 34 2 5 | 1 8 4 11 19 34 | 6
1 35 1 3 | 1 11 20 35 | 4
1 35 2 5 | 1 8 4 11 20 35 | 6
1 36 1 3 | 1 11 20 36 | 4
1 36 2 5 | 1 8 4 11 20 36 | 6
2 21 1 3 | 2 5 13 21 | 4
2 21 2 5 | 2 10 1 5 13 21 | 6
2 22 1 3 | 2 5 13 22 | 4
2 22 2 5 | 2 10 1 5 13 22 | 6
2 23 1 3 | 2 5 14 23 | 4
2 23 2 5 | 2 10 1 5 14 23 | 6
2 24 1 3 | 2 5 14 24 | 4
2 24 2 5 | 2 10 1 5 14 24 | 6
2 25 1 3 | 2 7 15 25 | 4
2 25 2 5 | 2 12 3 7 15 25 | 6
2 26 1 3 | 2 7 15 26 | 4
2 26 2 5 | 2 12 3 7 15 26 | 6
2 27 1 3 | 2 7 16 27 | 4
2 27 2 5 | 2 12 3 7 16 27 | 6
2 28 1 3 | 2 7 16 28 | 4
2 28 2 5 | 2 12 3 7 16 28 | 6
2 29 1 3 | 2 10 17 29 | 4
2 29 2 5 | 2 7 3 9 17 29 | 6
2 30 1 3 | 2 10 17 30 | 4
2 30 2 5 | 2 7 3 9 17 30 | 6
2 31 1 3 | 2 10 18 31 | 4
2 31 2 5 | 2 7 3 9 18 31 | 6
2 32 1 3 | 2 10 18 32 | 4
2 32 2 5 | 2 7 3 9 18 32 | 6
2 33 1 4 | 2 12 11 19 33 | 5
2 33 2 5 | 2 5 1 11 19 33 | 6
2 34 1 4 | 2 12 11 19 34 | 5
2 34 2 5 | 2 5 1 11 19 34 | 6
2 35 1 4 | 2 12 11 20 35 | 5
2 35 2 5 | 2 5 1 11 20 35 | 6
2 36 1 4 | 2 12 11 20 36 | 5
2 36 2 5 | 2 5 1 11 20 36 | 6
3 21 1 3 | 3 6 13 21 | 4
3 21 2 5 | 3 7 2 5 13 21 | 6
3 22 1 3 | 3 6 13 22 | 4
3 22 2 5 | 3 7 2 5 13 22 | 6
3 23 1 3 | 3 6 14 23 | 4
3 23 2 5 | 3 7 2 5 14 23 | 6
3 24 1 3 | 3 6 14 24 | 4
3 24 2 5 | 3 7 2 5 14 24 | 6
3 25 1 3 | 3 7 15 25 | 4
3 25 2 5 | 3 12 2 7 15 25 | 6
3 26 1 3 | 3 7 15 26 | 4
3 26 2 5 | 3 12 2 7 15 26 | 6
3 27 1 3 | 3 7 16 27 | 4
3 27 2 5 | 3 12 2 7 16 27 | 6
3 28 1 3 | 3 7 16 28 | 4
3 28 2 5 | 3 12 2 7 16 28 | 6
3 29 1 3 | 3 9 17 29 | 4
3 29 2 5 | 3 6 4 9 17 29 | 6
3 30 1 3 | 3 9 17 30 | 4
3 30 2 5 | 3 6 4 9 17 30 | 6
3 31 1 3 | 3 9 18 31 | 4
3 31 2 5 | 3 6 4 9 18 31 | 6
3 32 1 3 | 3 9 18 32 | 4
3 32 2 5 | 3 6 4 9 18 32 | 6
3 33 1 4 | 3 12 11 19 33 | 5
3 33 2 5 | 3 6 4 11 19 33 | 6
3 34 1 4 | 3 12 11 19 34 | 5
3 34 2 5 | 3 6 4 11 19 34 | 6
3 35 1 4 | 3 12 11 20 35 | 5
3 35 2 5 | 3 6 4 11 20 35 | 6
3 36 1 4 | 3 12 11 20 36 | 5
3 36 2 5 | 3 6 4 11 20 36 | 6
4 21 1 3 | 4 6 13 21 | 4
4 21 2 5 | 4 8 1 5 13 21 | 6
4 22 1 3 | 4 6 13 22 | 4
4 22 2 5 | 4 8 1 5 13 22 | 6
4 23 1 3 | 4 6 14 23 | 4
4 23 2 5 | 4 8 1 5 14 23 | 6
4 24 1 3 | 4 6 14 24 | 4
4 24 2 5 | 4 8 1 5 14 24 | 6
4 25 1 3 | 4 8 15 25 | 4
4 25 2 5 | 4 6 3 7 15 25 | 6
4 26 1 3 | 4 8 15 26 | 4
4 26 2 5 | 4 6 3 7 15 26 | 6
4 27 1 3 | 4 8 16 27 | 4
4 27 2 5 | 4 6 3 7 16 27 | 6
4 28 1 3 | 4 8 16 28 | 4
4 28 2 5 | 4 6 3 7 16 28 | 6
4 29 1 3 | 4 9 17 29 | 4
4 29 2 5 | 4 6 3 9 17 29 | 6
4 30 1 3 | 4 9 17 30 | 4
4 30 2 5 | 4 6 3 9 17 30 | 6
4 31 1 3 | 4 9 18 31 | 4
4 31 2 5 | 4 6 3 9 18 31 | 6
4 32 1 3 | 4 9 18 32 | 4
4 32 2 5 | 4 6 3 9 18 32 | 6
4 33 1 3 | 4 11 19 33 | 4
4 33 2 5 | 4 8 1 11 19 33 | 6
4 34 1 3 | 4 11 19 34 | 4
4 34 2 5 | 4 8 1 11 19 34 | 6
4 35 1 3 | 4 11 20 35 | 4
4 35 2 5 | 4 8 1 11 20 35 | 6
4 36 1 3 | 4 11 20 36 | 4
4 36 2 5 | 4 8 1 11 20 36 | 6
